date,depot_id,service,parcels,late_parcels,driver_hours
2026-04-12,D03,express,75,10,7.37
2026-04-12,D04,standard,not_recorded,5,11.01
2026-04-12,D04,express,85,0,7.98
2026-04-13,D01,standard,129,10,12.08
2026-04-13,D01,express,82,11,7.90
2026-04-13,D02,standard,123,8,11.73
2026-04-13,D02,express,94,0,9.20
2026-04-13,D03,standard,112,12,10.43
2026-04-13,D03,express,82,15,7.80
2026-04-13,D04,standard,124,11,11.72
2026-04-13,D04,express,76,0,7.46
2026-04-14,D01,standard,120,12,11.56
2026-04-14,D01,express,89,11,8.34
2026-04-14,D02,standard,130,11,12.17
2026-04-14,D02,express,83,0,8.00
2026-04-14,D03,standard,120,9,11.46
2026-04-14,D03,express,88,11,8.65
2026-04-14,D04,standard,113,14,10.52
2026-04-14,D04,express,83,0,7.90
2026-04-15,D01,standard,126,8,11.90
2026-04-15,D01,express,79,10,7.73
2026-04-15,D02,standard,121,13,11.65
2026-04-15,D02,express,91,0,8.52
2026-04-15,D03,standard,109,11,10.26
2026-04-15,D03,express,79,10,7.63
2026-04-15,D04,standard,121,10,11.55
2026-04-15,D04,express,89,0,8.74
2026-04-16,D01,standard,116,12,10.80
2026-04-16,D01,express,86,10,8.17
2026-04-16,D02,standard,128,9,12.09
2026-04-16,D02,express,80,0,7.82
2026-04-16,D03,standard,117,15,11.29
2026-04-16,D03,express,86,16,8.07
2026-04-16,D04,standard,110,13,10.35
2026-04-16,D04,express,80,0,7.72
2026-04-17,D01,standard,not_recorded,9,11.19
2026-04-17,D01,express,93,10,9.10
2026-04-17,D02,standard,118,7,10.98
2026-04-17,D02,express,88,0,8.35
2026-04-17,D03,standard,123,10,11.63
2026-04-17,D03,express,75,10,7.37
2026-04-17,D04,standard,118,9,11.38
2026-04-17,D04,express,87,0,8.16
2026-04-18,D01,standard,130,13,12.17
2026-04-18,D01,express,83,11,8.00
2026-04-18,D02,standard,125,10,11.91
2026-04-18,D02,express,94,0,9.20
2026-04-18,D03,standard,114,14,10.61
2026-04-18,D03,express,83,10,7.90
2026-04-18,D04,standard,124,12,11.72
2026-04-18,D04,express,77,0,7.55
2026-04-19,D01,standard,120,9,11.56
2026-04-19,D01,express,90,11,8.43
2026-04-19,D02,standard,114,14,10.71
2026-04-19,D02,express,84,0,8.09
2026-04-19,D03,standard,120,10,11.46
2026-04-19,D03,express,90,16,8.83
2026-04-19,D04,standard,114,14,10.61
2026-04-19,D04,express,83,0,7.90
2026-04-20,D01,standard,128,11,12.09
2026-04-20,D01,express,81,11,7.91
2026-04-20,D02,standard,121,10,11.65
2026-04-20,D02,express,91,0,8.52
2026-04-20,D03,standard,111,13,10.44
2026-04-20,D03,express,80,11,7.72
2026-04-20,D04,standard,122,11,11.64
2026-04-20,D04,express,74,0,7.38
2026-04-21,D01,standard,117,8,10.89
2026-04-21,D01,express,87,10,8.26
2026-04-21,D02,standard,129,12,12.18
2026-04-21,D02,express,81,0,7.91
2026-04-21,D03,standard,117,9,11.29
2026-04-21,D03,express,not_recorded,10,7.80
2026-04-21,D04,standard,111,13,10.44
2026-04-21,D04,express,80,6,7.72
2026-04-22,D01,standard,124,11,11.82
2026-04-22,D01,express,95,10,9.29
2026-04-22,D02,standard,118,9,10.98
2026-04-22,D02,express,88,0,8.35
2026-04-22,D03,standard,125,12,11.81
2026-04-22,D03,express,77,16,7.55
2026-04-22,D04,standard,119,10,11.47
2026-04-22,D04,express,88,0,8.25
2026-04-23,D01,standard,115,13,10.80
2026-04-23,D01,express,84,10,8.09
2026-04-23,D02,standard,125,12,11.91
2026-04-23,D02,express,95,0,9.29
2026-04-23,D03,standard,114,15,10.61
2026-04-23,D03,express,83,10,7.90
2026-04-23,D04,standard,125,12,11.81
2026-04-23,D04,express,78,0,7.64
2026-04-24,D01,standard,121,10,11.65
2026-04-24,D01,express,92,11,8.61
2026-04-24,D02,standard,116,7,10.90
2026-04-24,D02,express,85,0,8.18
2026-04-24,D03,standard,122,11,11.64
2026-04-24,D03,express,74,10,7.38
2026-04-24,D04,standard,116,9,10.80
2026-04-24,D04,express,84,0,7.99
2026-04-25,D01,standard,128,13,12.09
2026-04-25,D01,express,81,11,7.91
2026-04-25,D02,standard,123,10,11.83
2026-04-25,D02,express,92,0,8.61
2026-04-25,D03,standard,111,14,10.44
2026-04-25,D03,express,81,16,7.81
2026-04-25,D04,standard,122,11,11.64
2026-04-25,D04,express,75,0,7.47
2026-04-26,D01,standard,119,8,11.07
2026-04-26,D01,express,89,10,8.44
2026-04-26,D02,standard,not_recorded,5,10.72
2026-04-26,D02,express,82,0,8.00
2026-04-26,D03,standard,119,10,11.47
2026-04-26,D03,express,87,10,8.16
2026-04-26,D04,standard,113,15,10.62
2026-04-26,D04,express,82,0,7.90
2026-04-27,D01,standard,125,14,11.91
2026-04-27,D01,express,95,10,9.29
2026-04-27,D02,standard,120,11,11.16
2026-04-27,D02,express,89,0,8.44
2026-04-27,D03,standard,125,13,11.81
2026-04-27,D03,express,78,10,7.64
2026-04-27,D04,standard,119,11,11.47
2026-04-27,D04,express,89,0,8.34
2026-04-28,D01,standard,115,10,10.80
2026-04-28,D01,express,85,10,8.18
2026-04-28,D02,standard,126,8,12.00
2026-04-28,D02,express,80,0,7.92
2026-04-28,D03,standard,115,8,10.70
2026-04-28,D03,express,85,16,8.08
2026-04-28,D04,standard,110,14,10.45
2026-04-28,D04,express,78,0,7.64
2026-04-29,D01,standard,123,12,11.83
2026-04-29,D01,express,92,11,8.61
2026-04-29,D02,standard,116,11,10.90
2026-04-29,D02,express,86,0,8.27
2026-04-29,D03,standard,123,12,11.73
2026-04-29,D03,express,75,10,7.47
2026-04-29,D04,standard,116,10,10.80
2026-04-29,D04,express,86,0,8.17
2026-04-30,D01,standard,129,9,12.18
2026-04-30,D01,express,82,11,8.00
2026-04-30,D02,standard,124,13,11.92
2026-04-30,D02,express,94,0,8.80
2026-04-30,D03,standard,112,14,10.53
2026-04-30,D03,express,81,6,7.81
2026-04-30,D04,standard,124,13,11.82
2026-04-30,D04,express,not_recorded,6,10.20
2026-05-01,D01,standard,119,12,11.07
2026-05-01,D01,express,89,11,8.44
2026-05-01,D02,standard,130,10,12.27
2026-05-01,D02,express,83,0,8.10
2026-05-01,D03,standard,120,11,11.56
2026-05-01,D03,express,89,17,8.34
2026-05-01,D04,standard,113,9,10.62
2026-05-01,D04,express,83,0,8.00
2026-05-02,D01,standard,127,7,12.10
2026-05-02,D01,express,79,10,7.83
2026-05-02,D02,standard,120,13,11.16
2026-05-02,D02,express,91,0,8.62
2026-05-02,D03,standard,109,13,10.36
2026-05-02,D03,express,78,10,7.64
2026-05-02,D04,standard,121,12,11.65
2026-05-02,D04,express,90,0,8.43
2026-05-03,D01,standard,116,11,10.90
2026-05-03,D01,express,86,10,8.27
2026-05-03,D02,standard,128,8,12.19
2026-05-03,D02,express,80,0,7.92
2026-05-03,D03,standard,117,10,10.89
2026-05-03,D03,express,86,16,8.17
2026-05-03,D04,standard,110,15,10.45
2026-05-03,D04,express,79,0,7.73
