date,shop_id,product,units
2026-03-11,001,tea,18
2026-03-11,001,cake,14
2026-03-11,002,coffee,50
2026-03-11,002,tea,26
2026-03-11,002,cake,14
2026-03-11,003,coffee,35
2026-03-11,003,tea,23
2026-03-11,003,cake,4
2026-03-11,005,coffee,22
2026-03-11,005,tea,7
2026-03-11,005,cake,10
2026-03-12,001,coffee,37
2026-03-12,001,tea,27
2026-03-12,001,cake,8
2026-03-12,002,coffee,40
2026-03-12,002,tea,28
2026-03-12,002,cake,14
2026-03-12,003,coffee,34
2026-03-12,003,tea,15
2026-03-12,003,cake,9
2026-03-12,005,coffee,16
2026-03-12,005,tea,14
2026-03-12,005,cake,6
2026-03-13,001,coffee,35
2026-03-13,001,tea,15
2026-03-13,001,cake,10
2026-03-13,002,coffee,59
2026-03-13,002,tea,19
2026-03-13,002,cake,10
2026-03-13,003,coffee,26
2026-03-13,003,tea,14
2026-03-13,003,cake,8
2026-03-13,005,coffee,19
2026-03-13,005,tea,7
2026-03-13,005,cake,5
2026-03-14,001,coffee,53
2026-03-14,001,tea,missing
2026-03-14,001,cake,16
2026-03-14,002,coffee,60
2026-03-14,002,tea,41
2026-03-14,002,cake,26
2026-03-14,003,coffee,33
2026-03-14,003,tea,14
2026-03-14,003,cake,13
2026-03-14,005,coffee,36
2026-03-14,005,tea,18
2026-03-14,005,cake,7
2026-03-15,001,coffee,38
2026-03-15,001,tea,24
2026-03-15,001,cake,11
2026-03-15,002,coffee,77
2026-03-15,002,cake,19
2026-03-15,003,coffee,36
2026-03-15,003,tea,27
2026-03-15,003,cake,10
2026-03-15,005,coffee,26
2026-03-15,005,tea,11
2026-03-15,005,cake,12
2026-03-16,001,coffee,55
2026-03-16,001,tea,25
2026-03-16,001,cake,missing
2026-03-16,002,coffee,49
2026-03-16,002,tea,21
2026-03-16,002,cake,19
2026-03-16,003,coffee,31
2026-03-16,003,tea,17
2026-03-16,003,cake,5
2026-03-16,005,coffee,missing
2026-03-16,005,tea,7
2026-03-16,005,cake,9
2026-03-17,001,coffee,55
2026-03-17,001,tea,15
2026-03-17,001,cake,11
2026-03-17,002,coffee,63
2026-03-17,002,tea,18
2026-03-17,002,cake,14
2026-03-17,003,coffee,42
2026-03-17,003,tea,15
2026-03-17,003,cake,14
2026-03-17,005,coffee,25
2026-03-17,005,tea,16
2026-03-17,005,cake,5
2026-03-18,001,coffee,39
2026-03-18,001,tea,16
2026-03-18,001,cake,18
2026-03-18,002,coffee,580
2026-03-18,002,tea,20
2026-03-18,002,cake,7
2026-03-18,003,coffee,21
2026-03-18,003,tea,13
2026-03-18,003,cake,8
2026-03-18,005,coffee,14
2026-03-18,005,tea,8
2026-03-18,005,cake,7
2026-03-19,001,coffee,36
2026-03-19,001,tea,27
2026-03-19,001,cake,14
2026-03-19,002,coffee,43
2026-03-19,002,tea,18
2026-03-19,002,cake,11
2026-03-19,003,coffee,24
2026-03-19,003,tea,16
2026-03-19,003,cake,8
2026-03-19,005,coffee,22
2026-03-19,005,tea,14
2026-03-19,005,cake,13
2026-03-20,001,coffee,41
2026-03-20,001,tea,21
2026-03-20,001,cake,12
2026-03-20,002,coffee,60
2026-03-20,002,tea,22
2026-03-20,002,cake,12
2026-03-20,003,coffee,36
2026-03-20,003,tea,15
2026-03-20,003,cake,10
2026-03-20,005,coffee,22
2026-03-20,005,tea,15
2026-03-21,001,coffee,50
2026-03-21,001,tea,40
2026-03-21,001,cake,14
2026-03-21,002,coffee,75
2026-03-21,002,tea,39
2026-03-21,002,cake,20
2026-03-21,003,coffee,51
2026-03-21,003,tea,25
2026-03-21,003,cake,10
2026-03-21,005,coffee,29
2026-03-21,005,tea,17
2026-03-21,005,cake,6
2026-03-22,001,coffee,56
2026-03-22,001,tea,19
2026-03-22,001,cake,13
2026-03-22,002,coffee,76
2026-03-22,002,tea,34
2026-03-22,002,cake,13
2026-03-22,003,coffee,45
2026-03-22,003,tea,17
2026-03-22,003,cake,15
2026-03-22,005,coffee,25
2026-03-22,005,tea,22
2026-03-22,005,cake,8
2026-03-23,001,coffee,27
2026-03-23,001,tea,27
2026-03-23,001,cake,17
2026-03-23,002,coffee,56
2026-03-23,002,tea,20
2026-03-23,002,cake,12
2026-03-23,005,coffee,30
2026-03-23,005,tea,14
2026-03-23,005,cake,11
2026-03-24,001,tea,17
2026-03-24,001,cake,14
2026-03-24,002,coffee,49
2026-03-24,002,tea,19
2026-03-24,002,cake,12
2026-03-24,005,coffee,30
2026-03-24,005,tea,10
2026-03-24,005,cake,6
2026-03-25,001,coffee,55
2026-03-25,001,tea,18
2026-03-25,001,cake,11
2026-03-25,002,coffee,49
2026-03-25,002,tea,27
2026-03-25,002,cake,18
2026-03-25,005,coffee,28
2026-03-25,005,tea,12
2026-03-25,005,cake,12
2026-03-26,001,coffee,48
2026-03-26,001,tea,21
2026-03-26,001,cake,13
2026-03-26,002,coffee,58
2026-03-26,002,tea,14
2026-03-26,002,cake,19
2026-03-26,003,coffee,27
2026-03-26,003,tea,10
2026-03-26,003,cake,11
2026-03-26,005,coffee,22
2026-03-26,005,tea,11
2026-03-26,005,cake,9
2026-03-27,001,coffee,49
2026-03-27,001,tea,32
2026-03-27,001,cake,13
2026-03-27,002,coffee,54
2026-03-27,002,tea,17
2026-03-27,002,cake,11
2026-03-27,003,coffee,25
2026-03-27,003,tea,16
2026-03-27,003,cake,11
2026-03-27,005,coffee,17
2026-03-27,005,tea,12
2026-03-27,005,cake,7
2026-03-28,001,coffee,49
2026-03-28,001,tea,26
2026-03-28,001,cake,15
2026-03-28,002,coffee,70
2026-03-28,002,tea,30
2026-03-28,002,cake,25
2026-03-28,003,coffee,35
2026-03-28,003,cake,12
2026-03-28,005,coffee,30
2026-03-28,005,tea,16
2026-03-28,005,cake,10
2026-03-29,001,coffee,54
2026-03-29,001,tea,31
2026-03-29,001,cake,13
2026-03-29,002,coffee,70
2026-03-29,002,tea,41
2026-03-29,002,cake,23
2026-03-29,003,coffee,37
2026-03-29,003,tea,20
2026-03-29,003,cake,16
2026-03-29,005,coffee,33
2026-03-29,005,tea,9
2026-03-29,005,cake,4
2026-03-30,001,coffee,36
2026-03-30,001,tea,24
2026-03-30,001,cake,6
2026-03-30,002,coffee,51
2026-03-30,002,tea,24
2026-03-30,002,cake,14
2026-03-30,003,coffee,39
2026-03-30,003,tea,12
2026-03-30,003,cake,11
2026-03-30,005,coffee,22
2026-03-30,005,tea,15
2026-03-30,005,cake,9
2026-03-31,001,coffee,47
2026-03-31,001,tea,24
2026-03-31,001,cake,7
2026-03-31,002,coffee,63
2026-03-31,002,tea,22
2026-03-31,002,cake,13
2026-03-31,003,coffee,36
2026-03-31,003,tea,14
2026-03-31,003,cake,7
2026-03-31,005,coffee,30
2026-03-31,005,tea,12
2026-03-31,005,cake,9
2026-04-01,001,coffee,39
2026-04-01,001,tea,14
2026-04-01,001,cake,17
2026-04-01,002,coffee,52
2026-04-01,002,tea,27
2026-04-01,002,cake,17
2026-04-01,003,coffee,33
2026-04-01,003,tea,11
2026-04-01,003,cake,11
2026-04-01,005,coffee,22
2026-04-01,005,tea,13
2026-04-01,005,cake,12
2026-04-02,001,coffee,36
2026-04-02,001,tea,14
2026-04-02,001,cake,11
2026-04-02,002,coffee,40
2026-04-02,002,tea,18
2026-04-02,002,cake,23
2026-04-02,003,coffee,34
2026-04-02,003,tea,16
2026-04-02,003,cake,9
2026-04-02,005,coffee,25
2026-04-02,005,tea,20
2026-04-02,005,cake,8
2026-04-03,001,coffee,37
2026-04-03,001,tea,18
2026-04-03,001,cake,13
2026-04-03,002,coffee,46
2026-04-03,002,tea,22
2026-04-03,002,cake,16
2026-04-03,003,coffee,34
2026-04-03,003,tea,17
2026-04-03,003,cake,9
2026-04-03,005,coffee,19
2026-04-03,005,tea,14
2026-04-03,005,cake,6
2026-04-04,001,coffee,57
2026-04-04,001,tea,19
2026-04-04,001,cake,17
2026-04-04,002,coffee,58
2026-04-04,002,tea,28
2026-04-04,002,cake,24
2026-04-04,003,coffee,34
2026-04-04,003,tea,22
2026-04-04,003,cake,12
2026-04-04,005,coffee,25
2026-04-04,005,tea,12
2026-04-04,005,cake,6
2026-04-05,001,coffee,63
2026-04-05,001,tea,32
2026-04-05,001,cake,17
2026-04-05,002,coffee,77
2026-04-05,002,tea,28
2026-04-05,002,cake,19
2026-04-05,003,coffee,41
2026-04-05,003,tea,15
2026-04-05,003,cake,14
2026-04-05,005,coffee,29
2026-04-05,005,tea,18
2026-04-05,005,cake,7
2026-04-06,001,coffee,42
2026-04-06,001,tea,16
2026-04-06,001,cake,10
2026-04-06,002,coffee,40
2026-04-06,002,tea,25
2026-04-06,002,cake,17
2026-04-06,003,coffee,27
2026-04-06,003,tea,20
2026-04-06,003,cake,12
2026-04-06,005,coffee,25
2026-04-06,005,tea,8
2026-04-06,005,cake,6
2026-04-07,001,coffee,42
2026-04-07,001,tea,14
2026-04-07,001,cake,12
2026-04-07,002,coffee,52
2026-04-07,002,tea,25
2026-04-07,002,cake,14
2026-04-07,003,coffee,32
2026-04-07,003,tea,15
2026-04-07,003,cake,9
2026-04-07,005,coffee,19
2026-04-07,005,tea,13
2026-04-07,005,cake,12
2026-04-08,001,coffee,40
2026-04-08,001,tea,20
2026-04-08,001,cake,12
2026-04-08,002,coffee,47
2026-04-08,002,tea,29
2026-04-08,002,cake,18
2026-04-08,003,coffee,38
2026-04-08,003,tea,20
2026-04-08,003,cake,9
2026-04-08,005,coffee,26
2026-04-08,005,tea,15
2026-04-08,005,cake,4
2026-04-09,001,coffee,42
2026-04-09,001,tea,17
2026-04-09,001,cake,17
2026-04-09,002,coffee,45
2026-04-09,002,tea,36
2026-04-09,002,cake,20
2026-04-09,003,coffee,33
2026-04-09,003,tea,9
2026-04-09,003,cake,9
2026-04-09,005,coffee,28
2026-04-09,005,tea,10
2026-04-09,005,cake,7
2026-04-10,001,coffee,33
2026-04-10,001,tea,20
2026-04-10,001,cake,12
2026-04-10,002,coffee,39
2026-04-10,002,tea,42
2026-04-10,002,cake,18
2026-04-10,003,coffee,26
2026-04-10,003,tea,20
2026-04-10,003,cake,15
2026-04-10,005,coffee,missing
2026-04-10,005,tea,15
2026-04-10,005,cake,4
2026-04-11,001,coffee,45
2026-04-11,001,tea,26
2026-04-11,001,cake,12
2026-04-11,002,coffee,75
2026-04-11,002,tea,40
2026-04-11,002,cake,17
2026-04-11,003,coffee,39
2026-04-11,003,tea,28
2026-04-11,005,coffee,32
2026-04-11,005,tea,13
2026-04-11,005,cake,11
2026-04-12,001,coffee,62
2026-04-12,001,tea,28
2026-04-12,001,cake,17
2026-04-12,002,coffee,52
2026-04-12,002,tea,26
2026-04-12,002,cake,25
2026-04-12,003,coffee,35
2026-04-12,003,tea,missing
2026-04-12,003,cake,10
2026-04-12,005,coffee,24
2026-04-12,005,tea,11
2026-04-12,005,cake,3
